10980741,"[4407825841, 1163276306]"
10980742,"[1342568918, 2074437648, 1299888397]"
10980746,"[919790753, 1163276333, 1163276212, 1149693607, 1300493351]"
10980771,"[1143936490, 1143936545, 1143936603, 1143936680]"
10980785,"[1314130719, 1142824128]"
10980787,"[1142824128, 1314152453]"
10980788,"[4771778360, 1314130677, 1163276382, 4771778371]"
10980821,"[3215726565, 3797779448]"
10980824,"[1155234550, 4875956103]"
10980827,"[1142824607, 1163430109, 1164175367]"
10980830,"[919766839, 919767191, 1164175367]"
10980840,"[1143844721, 1143844695, 1279676036]"
10980842,"[4771323136, 2483398479, 4771323141]"
10980843,"[2483326972, 2483327017, 4771323141]"
10980886,"[2477307494, 3797779446, 3797779445]"
11213448,"[920115969, 1132970048, 271936845, 1132970060]"
11213459,"[228333304, 11213465]"
11213465,"[11213459, 4253832595]"
11213483,"[1298659590, 919766927]"
11213485,"[304929688, 1298817832, 1298659590]"
11213487,"[920116302, 919768269]"
11213512,"[919767472, 920116302]"
11213513,"[2845695490, 919768479]"
11213519,"[2694471288, 1132969620]"
11213532,"[1293796492, 3217113770, 2694470547]"
11213545,"[919767001, 2694470342, 1293796504, 2694470290]"
11213547,"[11213551, 3220103120]"
11213551,"[11213547, 271936430]"
11213555,"[1923640266, 1296635323]"
11213641,"[4771323121, 304931343]"
11213642,"[1296637927, 1296635406]"
11213808,"[1600838630, 1594303533]"
11213809,"[3797779438, 3797779437]"
11213810,"[3797779439, 3797779438]"
11213860,"[3802566889, 1540938131]"
11213870,"[11213877, 1540938179]"
11213877,"[1594303533, 11213870]"
11213883,"[2560876437, 1594303518]"
11213889,"[1594303525, 2560876453]"
11213895,"[1594294587, 1594303525]"
11213900,"[1594294588, 1594294587]"
11213902,"[3802566890, 11213903]"
11213903,"[11213902, 11221121]"
11213970,"[1600838551, 11213971]"
11213971,"[11213970, 11213976]"
11213976,"[11213971, 1594294589, 2560876476, 4142946110]"
11214022,"[4409319934, 4409319835]"
11214027,"[4409319884, 4409319883]"
11214044,"[3802578334, 1600838552]"
11214072,"[1527902435, 1527902434]"
11214079,"[3604858211, 580042144]"
11214121,"[3778192277, 1527902523]"
11214124,"[1527902451, 1527902445]"
11214137,"[11214214, 11214141]"
11214141,"[566169732, 11214137]"
11214202,"[4142940885, 4142940884]"
11214204,"[4142940884, 1952499539]"
11214208,"[1952499539, 11214214]"
11214214,"[11214208, 11214137]"
11214289,"[11214384, 3604760095]"
11214302,"[3604760095, 3605854658]"
11214310,"[3605854658, 11214320]"
11214320,"[11214310, 1309911883]"
11214358,"[5223629341, 1527903022]"
11214369,"[1527903002, 1527903000]"
11214377,"[1355406545, 11214384]"
11214384,"[11214377, 11214289]"
11214445,"[1527881870, 1160122822]"
11214450,"[1527881865, 1527881866]"
11214458,"[4142938436, 1527881864]"
11214465,"[3621479796, 5223674517]"
11214466,"[3621479796, 5223629341]"
11214499,"[11214505, 1527881935]"
11214505,"[2683623618, 11214499, 2683623607]"
11214518,"[1527881970, 1527881973]"
11214520,"[1527881982, 1527881972]"
11214521,"[1527881969, 1527881967]"
11214527,"[1527881965, 1527881954]"
11214552,"[1527881889, 303829751]"
11214565,"[27070999, 1160011108]"
11214908,"[1326292357, 1403293326]"
11214912,"[1326292330, 4014983406, 2450195577]"
11214913,"[1591162405, 1527882094]"
11214937,"[2674648515, 1326292361]"
11214941,"[1326292336, 104542313]"
11214976,"[1189619890, 693823013]"
11214977,"[11214980, 1189619890]"
11214980,"[104542313, 11214977]"
11214981,"[2836213351, 11214983]"
11214983,"[11214981, 11214990]"
11214990,"[11214983, 2836214652]"
